Name,Grade,Element,โอกาสได้รับ SSR เพิ่มขึ้น,โอกาสได้รับ SP เพิ่มขึ้น
แบ็กฟูน,SR,Fire,2%,1%
ฮิบานี,R,Fire,4%,2%
ฮิโตคาเงะ,R,Fire,6%,3%
ฮิบานี,R,Fire,8%,4%
เมก้าลิซาร์ดอน X,SP,Fire,10%,0%
ฟ็อกโกะ,R,Fire,12%,1%
ฟ็อกโกะ,R,Fire,14%,2%
เอสเบิร์นกิกะแมกซ์,SP,Fire,16%,0%
มาฟ็อกซี,SR,Fire,18%,1%
มาฟ็อกซี,SR,Fire,20%,2%
อาชาโม,R,Fire,22%,3%
ฮิบานี,R,Fire,24%,4%
ฮิบานี,R,Fire,26%,5%
ลิซาร์ดอนกิกะแมกซ์,SP,Fire,28%,0%
อาชาโม,R,Fire,30%,1%
ฟ็อกโกะ,R,Fire,32%,2%
มาฟ็อกซี,SR,Fire,34%,3%
ฮิโนอาราชิ,R,Fire,36%,4%
ฮิโนอาราชิ,R,Fire,38%,5%
ฮิโตคาเงะ,R,Fire,40%,6%
